Segmentasi,Status,New/ Existing,Product,offer status,B/W (Mbps),OTC,MRC,GRAND TOTAL,Cluster
OTHERS,in Building,NEW,SMARTLINK,NEGOTIATION,0.015000000000000001,0.01818181818181818,0.01764705882352941,0.02304609218436874,5
EDUCATION,Greenfield,NEW,INFYLINK MIX,LOST ,0.0015,0.07272727272727272,0.047058823529411764,0.0781563126252505,4
EDUCATION,Greenfield,NEW,SMARTLINK,LOST ,0.01,0.01818181818181818,0.015294117647058823,0.021042084168336674,4
MANUFAKTUR,in Building,NEW,SMARTLINK,LOST ,0.004,0.06363636363636363,0.06470588235294117,0.08817635270541081,0
OTOMOTIF,in Building,NEW,SMARTLINK,LOST ,0.0025,0.02727272727272727,0.010588235294117647,0.022044088176352707,0
FINANCIAL & BANKING,in Building,NEW,SMARTLINK,PROPOSAL,0.005,0.02727272727272727,0.010588235294117647,0.022044088176352707,5
ISP & ICT,in Building,EXISTING,SMARTLINK,PROPOSAL,0.02,0.0,0.29411764705882354,0.24849699398797592,3
MANUFAKTUR,in Building,NEW,SMARTLINK,PO WON,0.01,0.02727272727272727,0.015294117647058823,0.026052104208416835,0
EDUCATION,Greenfield,NEW,SMARTLINK,LOST ,0.01,0.02727272727272727,0.015294117647058823,0.026052104208416835,4
EDUCATION,Greenfield,NEW,SMARTLINK,PROPOSAL,0.005,0.02727272727272727,0.010588235294117647,0.022044088176352707,1
EDUCATION,Greenfield,NEW,INFYLINK MIX,PROPOSAL,0.01,0.05454545454545454,0.07058823529411765,0.08817635270541081,1
MANUFAKTUR,Greenfield,NEW,SMARTLINK,LOST ,0.01,0.07272727272727272,0.09411764705882353,0.11823647294589178,0
EDUCATION,Greenfield,NEW,INFYLINK MIX,LOST ,0.18000000000000002,0.2727272727272727,0.9411764705882353,0.9498997995991983,3
EDUCATION,Greenfield,NEW,INFYLINK MIX,PROPOSAL,0.01,0.05454545454545454,0.08235294117647059,0.09819639278557114,1
MANUFAKTUR,in Building,NEW,SMARTLINK,NEGOTIATION,0.01,0.02727272727272727,0.011764705882352941,0.02304609218436874,0
HEALTH FACILITY,Greenfield,NEW,SMARTLINK,PROPOSAL,0.01,0.02727272727272727,0.015294117647058823,0.026052104208416835,5
HEALTH FACILITY,Greenfield,NEW,INFYLINK MIX,DISSENGGAGED,0.003,0.07272727272727272,0.058823529411764705,0.08817635270541081,1
MANUFAKTUR,Greenfield,NEW,INFYLINK MIX,LOST ,0.002,0.07272727272727272,0.047058823529411764,0.0781563126252505,4
HEALTH FACILITY,Greenfield,NEW,SMARTLINK,LOST ,0.0025,0.02727272727272727,0.010588235294117647,0.022044088176352707,0
MANUFAKTUR,in Building,NEW,SMARTLINK,PROPOSAL,0.01,0.02727272727272727,0.015294117647058823,0.026052104208416835,5
EDUCATION,in Building,NEW,SMARTLINK,LOST ,0.015000000000000001,0.02727272727272727,0.01764705882352941,0.028056112224448898,0
EDUCATION,in Building,NEW,SMARTLINK,LOST ,0.015000000000000001,0.02727272727272727,0.01764705882352941,0.028056112224448898,0
RETAIL CONSUMER GOODS,in Building,NEW,SMARTLINK,ACTIVE,0.0025,0.02727272727272727,0.010588235294117647,0.022044088176352707,5
ISP & ICT,in Building,EXISTING,INFYLINK MIX,PROPOSAL,0.030000000000000002,0.0,0.08823529411764705,0.07314629258517033,5
FINANCIAL & BANKING,in Building,NEW,SMARTLINK,ACTIVE,0.005,0.02727272727272727,0.007058823529411764,0.01903807615230461,5
EDUCATION,Greenfield,NEW,INFYLINK MIX,NEGOTIATION,0.02,0.05454545454545454,0.12352941176470587,0.13326653306613226,1
HOREKA JKT,in Building,NEW,SMARTLINK,LOST ,0.015000000000000001,0.02727272727272727,0.007058823529411764,0.01903807615230461,0
HOREKA JKT,in Building,NEW,SMARTLINK,ACTIVE,0.0025,0.02727272727272727,0.011764705882352941,0.02304609218436874,5
ISP & ICT,Greenfield,NEW,INFYLINK MIX,PROPOSAL,0.01,0.05454545454545454,0.08823529411764705,0.1032064128256513,1
EDUCATION,Greenfield,NEW,INFYLINK MIX,NEGOTIATION,0.04,0.02727272727272727,0.18823529411764706,0.17334669338677355,1
EDUCATION,Greenfield,NEW,INFYLINK MIX,PROPOSAL,0.005,0.05454545454545454,0.047058823529411764,0.06813627254509018,1
MANUFAKTUR,in Building,NEW,INFYLINK MIX,NEGOTIATION,0.01,0.05454545454545454,0.11764705882352941,0.1282565130260521,3
MANUFAKTUR,in Building,NEW,INFYLINK MIX,NEGOTIATION,0.01,0.02727272727272727,0.07647058823529411,0.0781563126252505,3
MANUFAKTUR,in Building,NEW,INFYLINK MIX,PO WON,0.01,0.02727272727272727,0.07647058823529411,0.0781563126252505,0
FINANCIAL & BANKING,Greenfield,NEW,SMARTLINK,PO WON,0.015000000000000001,0.05454545454545454,0.023529411764705882,0.04809619238476954,0
EDUCATION,Greenfield,NEW,SMARTLINK,PROPOSAL,0.01,0.02727272727272727,0.015294117647058823,0.026052104208416835,1
EDUCATION,Greenfield,NEW,INFYLINK MIX,PROPOSAL,0.01,0.05454545454545454,0.08235294117647059,0.09819639278557114,1
HEALTH FACILITY,Greenfield,NEW,SMARTLINK,PROPOSAL,0.01,0.02727272727272727,0.015294117647058823,0.026052104208416835,5
MANUFAKTUR,Greenfield,NEW,SMARTLINK,PROPOSAL,0.015000000000000001,0.02727272727272727,0.023529411764705882,0.033066132264529056,5
EDUCATION,Greenfield,NEW,INFYLINK MIX,PROPOSAL,0.005,0.03636363636363636,0.047058823529411764,0.058116232464929855,1
EDUCATION,Greenfield,NEW,INFYLINK MIX,PROPOSAL,0.1,0.05454545454545454,0.32941176470588235,0.30861723446893785,1
RETAIL CONSUMER GOODS,in Building,NEW,SMARTLINK,PROPOSAL,0.005,0.02727272727272727,0.010588235294117647,0.022044088176352707,5
EDUCATION,Greenfield,NEW,INFYLINK MIX,PROPOSAL,0.01,0.05454545454545454,0.11764705882352941,0.1282565130260521,1
EDUCATION,Greenfield,NEW,INFYLINK MIX,PROPOSAL,0.01,0.045454545454545456,0.08235294117647059,0.09318637274549098,1
EDUCATION,Greenfield,NEW,SMARTLINK,PROPOSAL,0.030000000000000002,0.05454545454545454,0.19999999999999998,0.19839679358717435,1
HEALTH FACILITY,Greenfield,NEW,SMARTLINK,NEGOTIATION,0.01,0.02727272727272727,0.029411764705882353,0.038076152304609215,5
EDUCATION,Greenfield,NEW,SMARTLINK,PROPOSAL,0.01,0.02727272727272727,0.027058823529411764,0.03607214428857715,1
RETAIL CONSUMER GOODS,in Building,NEW,SMARTLINK,PROPOSAL,0.01,0.01818181818181818,0.011764705882352941,0.018036072144288578,5
HEALTH FACILITY,Greenfield,NEW,SMARTLINK,PROPOSAL,0.01,0.02727272727272727,0.018823529411764704,0.02905811623246493,5
ISP & ICT,in Building,NEW,SMARTLINK,PO WON,0.005,0.02727272727272727,0.007058823529411764,0.01903807615230461,5
MANUFAKTUR,in Building,NEW,SMARTLINK,PROPOSAL,0.01,0.12727272727272726,0.023529411764705882,0.08817635270541081,0
EDUCATION,Greenfield,NEW,SMARTLINK,PROPOSAL,0.01,0.02727272727272727,0.018823529411764704,0.02905811623246493,1
RETAIL CONSUMER GOODS,in Building,NEW,SMARTLINK,PROPOSAL,0.01,0.03636363636363636,0.018823529411764704,0.03406813627254509,5
EDUCATION,Greenfield,NEW,INFYLINK MIX,PROPOSAL,0.01,0.03636363636363636,0.018823529411764704,0.03406813627254509,1
EDUCATION,Greenfield,NEW,INFYLINK MIX,PROPOSAL,0.005,0.05454545454545454,0.1764705882352941,0.1783567134268537,1
EDUCATION,Greenfield,NEW,INFYLINK MIX,PROPOSAL,0.05,0.07272727272727272,0.18823529411764706,0.19839679358717435,1
EDUCATION,Greenfield,NEW,INFYLINK MIX,NEGOTIATION,0.030000000000000002,0.05454545454545454,0.1411764705882353,0.14829659318637273,1
HEALTH FACILITY,in Building,NEW,SMARTLINK,PROPOSAL,0.01,0.03636363636363636,0.027058823529411764,0.041082164328657314,5
EDUCATION,Greenfield,NEW,SMARTLINK,PROPOSAL,0.01,0.03636363636363636,0.027058823529411764,0.041082164328657314,1
EDUCATION,Greenfield,NEW,INFYLINK MIX,PROPOSAL,0.005,0.03636363636363636,0.047058823529411764,0.058116232464929855,1
RETAIL CONSUMER GOODS,in Building,NEW,SMARTLINK,LOST ,0.005,0.045454545454545456,0.07176470588235294,0.0841683366733467,0
EDUCATION,in Building,NEW,INFYLINK MIX,PROPOSAL,0.005,0.05454545454545454,0.1588235294117647,0.16332665330661322,1
RETAIL CONSUMER GOODS,Greenfield,NEW,SMARTLINK,PROPOSAL,0.01,0.03636363636363636,0.027058823529411764,0.041082164328657314,5
ISP & ICT,in Building,NEW,SMARTLINK,NEGOTIATION,0.005,0.02727272727272727,0.010588235294117647,0.022044088176352707,5
EDUCATION,Greenfield,NEW,INFYLINK MIX,NEGOTIATION,0.01,0.05454545454545454,0.24705882352941175,0.23847695390781562,1
EDUCATION,Greenfield,NEW,INFYLINK MIX,NEGOTIATION,0.01,0.05454545454545454,0.15294117647058822,0.15831663326653306,1
HOREKA JKT,Greenfield,NEW,INFYLINK MIX,LOST ,0.01,0.05454545454545454,0.07647058823529411,0.09318637274549098,4
FINANCIAL & BANKING,in Building,NEW,INFINYLINK,NEGOTIATION,0.005,0.05454545454545454,0.06470588235294117,0.08316633266533066,2
EDUCATION,Greenfield,NEW,SMARTLINK,PROPOSAL,0.01,0.02727272727272727,0.018823529411764704,0.02905811623246493,1
RETAIL CONSUMER GOODS,Greenfield,NEW,SMARTLINK,NEGOTIATION,0.01,0.02727272727272727,0.018823529411764704,0.02905811623246493,5
EDUCATION,Greenfield,NEW,INFYLINK MIX,PROPOSAL,0.01,0.05454545454545454,0.027058823529411764,0.05110220440881763,1
